,Province,City,Cnty,Town,Lat,Lon,Height,Stationlevl,StationName,IIIII,tmax,tmin,rain,rainhour,view,wind,windave
0,浙江省,台州市,玉环市,鸡山乡,28.0922,121.4039,30,14,大鹿岛,K8506,28.7,26.4,0,0,999999,14.7,8.3
1,浙江省,台州市,临海市,东塍镇,28.9547,121.3808,236,14,岭根村,K8682,34.7,24.8,0,0,999999,4.2,2.2
2,浙江省,台州市,三门县,浦坝港镇,28.9753,121.6486,41,14,里陈坑,K8880,34.3,27.2,0,0,999999,999999,999999
3,浙江省,台州市,黄岩区,头陀镇,28.6711,121.1006,208,14,东岭头,K8260,34.7,24.9,0,0.1,999999,5.8,4.2
4,浙江省,台州市,临海市,尤溪镇,28.7425,121.1011,17,14,尤溪,K8606,37.6,26.1,0.1,0.1,999999,6.6,3.4
5,浙江省,台州市,三门县,浦坝港镇,29.0131,121.7056,60,13,牛山,58662,34.1,27.2,0,0,6938,10.7,8
6,浙江省,台州市,天台县,泳溪乡,29.1639,121.375,235,14,大柳溪,K8798,35.4,23.5,4.1,2.3,999999,999999,999999
7,浙江省,台州市,温岭市,温峤镇,28.3636,121.2439,30,14,青屿校区,K8466,33.3,27,0,0,14442,12.6,9.3
8,浙江省,台州市,三门县,花桥镇,28.9336,121.4381,290,14,银山村,K8868,34.1,25.1,0,0.3,999999,999999,999999
9,浙江省,台州市,三门县,海游街道,29.0492,121.4242,627,14,林场,K8840,32.8,23.4,0,0,999999,12.7,8.2
10,浙江省,台州市,温岭市,石塘镇,28.2144,121.6619,73,14,一蒜岛,K8487,27.6,25.4,0,0,8577,16,14.6
11,浙江省,台州市,黄岩区,茅畲乡,28.595,121.1314,29,14,茅畲,K8216,36.4,25.1,0.1,0.1,999999,7.9,6
12,浙江省,台州市,天台县,洪畴镇,29.0997,121.2433,409,14,东安隐,K8766,33.1,24.3,0.6,0.6,999999,999999,999999
13,浙江省,台州市,黄岩区,宁溪镇,28.56,120.9519,89,14,金岙,K8292,36.7,25.5,0,0,999999,999999,999999
14,浙江省,台州市,路桥区,金清镇,28.4875,121.4636,5,14,蒋桥,K8343,35.3,26.9,0,0,999999,9.6,6.5
15,浙江省,台州市,仙居县,白塔镇,28.7256,120.5786,106,14,白塔,K8901,36.7,25,21.9,15.9999,999999,10.1,7.1
16,浙江省,台州市,天台县,坦头镇,29.185,121.105,290,14,欢岙,K8773,35.5,24.2,2,0.2,999999,7.7,5.1
17,浙江省,台州市,天台县,白鹤镇,29.2733,121.0083,600,14,万年寺,K8761,32.4,22.2,4.9,4.3999,999999,9.3,5.1
18,浙江省,台州市,三门县,浦坝港镇,28.9111,121.7244,14,14,五峙山,K8872,30,27.1,0,0,21208,16.8,13.9
19,浙江省,台州市,仙居县,横溪镇,28.7794,120.4283,553,14,山岙,K8920,38.5,23.8,0,0,999999,5.8,3
20,浙江省,台州市,椒江区,洪家街道,28.6181,121.4164,4.6,12,洪家,58665,35.3,28.3,0,0,19346,11.4,6.6
21,浙江省,台州市,仙居县,田市镇,28.6639,120.6708,137,14,柯思,K8908,36.8,24.5,0,0,999999,7.7,4.6
22,浙江省,台州市,仙居县,白塔镇,28.775,120.5811,86,14,茶溪,K8929,37.2,25.5,14,9,482,999999,3.8
23,浙江省,台州市,黄岩区,院桥镇,28.5575,121.2686,7,14,沙门店,K8223,34.4,27.8,0,0,999999,8.6,5.9
24,浙江省,台州市,临海市,邵家渡街道,28.8244,121.2322,146,14,岭上村,K8642,34.4,25.6,0,0.1,999999,9.1,6.4
25,浙江省,台州市,天台县,街头镇,29.0822,120.7117,256,14,茶坑,K8750,35.6,23.5,32.7,32,999999,5.7,3.6
26,浙江省,台州市,天台县,始丰街道,29.1539,120.99,60,14,新城,K8759,37,25.8,0.1,0.1,999999,8.2,4.2
27,浙江省,台州市,温岭市,滨海镇,28.4769,121.6092,5,14,伍佰屿,K8462,31.7,27,0,0,999999,14.4,11.3
28,浙江省,台州市,仙居县,上张乡,28.6258,120.8078,870,14,天顶茶场,K8949,32.4,22.4,0,0,999999,8.2,5.4
29,浙江省,台州市,临海市,括苍镇,28.7483,120.9744,582,14,黄家寮,K8612,33.3,23.5,0,0,999999,999999,999999
30,浙江省,台州市,椒江区,三甲街道,28.59,121.5361,3,14,烟草中心,K8122,33.9,27.8,0,0,999999,11.7,7.2
31,浙江省,台州市,三门县,横渡镇,29.0117,121.5094,52,14,横渡,K8805,38,25.1,0.1,0.3,999999,8.7,6.1
32,浙江省,台州市,临海市,杜桥镇,28.7858,121.4106,25,14,溪口水库,K8683,35.1,26.2,2.6,2.3999,999999,6.8,4.4
33,浙江省,台州市,温岭市,城北街道,28.4572,121.3997,34,14,城北,K8424,33.7,27.5,0,0,999999,12.4,8.9
34,浙江省,台州市,温岭市,滨海镇,28.4506,121.5589,5,16,滨海,K8413,31.8,27.1,0,0,3418,14.4,10.8
35,浙江省,台州市,仙居县,湫山乡,28.6453,120.4169,680,14,上蓄能,K8948,32.8,24.1,0.1,0.1,999999,6.4,5
36,浙江省,台州市,路桥区,金清镇,28.5556,121.5392,5,14,路桥高速,K8322,33.9,27.4,0,0,5965,10.2,6.9
37,浙江省,台州市,临海市,东塍镇,28.9286,121.2622,39,14,东塍,K8604,36.6,26,0.8,0.8,999999,6.3,3.7
38,浙江省,台州市,临海市,大田街道,28.9531,121.1308,177,14,山里村,K8686,37.4,25.3,0,0,999999,999999,999999
39,浙江省,台州市,椒江区,章安街道,28.7061,121.3672,5,14,江北药业,K8127,36.1,27.3,0,0.7,999999,8.2,5
40,浙江省,台州市,天台县,赤城街道,29.1519,121.0433,92,14,飞鹤山,K8749,36.9,24.3,7.6,7.1999,999999,7.2,4.5
41,浙江省,台州市,仙居县,淡竹乡,28.6794,120.6036,844,14,神仙居,K8980,32.6,23.1,6.9,3.1,999999,999999,9
42,浙江省,台州市,温岭市,大溪镇,28.4989,121.2019,407,14,仰天湖,K8432,999999,999999,999999,999999,999999,999999,999999
43,浙江省,台州市,天台县,龙溪乡,29.0228,120.77,445,14,柱峰,K8735,999999,999999,999999,999999,999999,999999,999999
44,浙江省,台州市,温岭市,泽国镇,28.5297,121.3078,210,14,黄茅山,K8402,33.2,26.1,0,0,999999,13.3,9.7
45,浙江省,台州市,临海市,汛桥镇,28.795,121.1706,11,14,汛桥,K8607,37.2,25.5,0.1,0.1,999999,5.3,2.6
46,浙江省,台州市,路桥区,峰江街道,28.5189,121.3761,5,14,保全小学,K8321,35.3,28.2,0,0,999999,9.5,5.4
47,浙江省,台州市,临海市,桃渚镇,28.8528,121.6708,6,14,洞港,K8673,32.8,27.9,0,0,999999,12,8.8
48,浙江省,台州市,仙居县,埠头镇,28.7481,120.5086,108,14,十都英,K8996,36.8,25.1,0.6,1.4,999999,999999,5.8
49,浙江省,台州市,三门县,健跳镇,29.1081,121.5811,22,14,三门湾,K8841,35.8,27.1,0.1,0.1,2326,8.4,5.3
50,浙江省,台州市,天台县,石梁镇,29.2281,121.05,790,14,寒风缺,K8763,32.7,22,0,0,999999,6,3.5
51,浙江省,台州市,玉环市,坎门街道,28.0775,121.2708,95.9,12,玉环,58667,28.8,26.3,0,0,17392,13.2,8.8
52,浙江省,台州市,临海市,尤溪镇,28.7053,121.0289,243,14,下涨村,KJ603,34.5,24.4,0,0,999999,999999,999999
53,浙江省,台州市,三门县,浦坝港镇,28.8961,121.5806,17,14,毛石源,K8843,36.4,27.3,0,0,6874,12.2,8.6
54,浙江省,台州市,黄岩区,上垟乡,28.5225,120.9789,180,14,黄杜岙,K8289,36.4,25,0.2,0.1,999999,999999,999999
55,浙江省,台州市,临海市,白水洋镇,29.0003,120.9667,804,14,安基山,K8635,999999,999999,999999,999999,999999,999999,999999
56,浙江省,台州市,临海市,白水洋镇,28.9,120.8944,45,14,白水洋小学,K8628,37.1,25.9,0,0,999999,5,3.1
57,浙江省,台州市,黄岩区,南城街道,28.6125,121.2672,20,14,十里铺,K8227,36.3,27.3,0,0,999999,9,6.9
58,浙江省,台州市,仙居县,横溪镇,28.7286,120.4772,116,14,横溪,K8933,999999,999999,999999,999999,999999,999999,999999
59,浙江省,台州市,温岭市,新河镇,28.4894,121.4331,10,14,高桥小学,K8443,35.3,27.6,0,0,999999,9.6,5.1
60,浙江省,台州市,天台县,平桥镇,29.2011,120.8997,112,14,屯桥,K8720,35.2,25.1,0.5,0.3,999999,9.4,6.9
61,浙江省,台州市,三门县,沙柳街道,29.1586,121.3514,211,14,板樟山,K8819,34.5,24.7,0,0,999999,5.5,3.8
62,浙江省,台州市,仙居县,上张乡,28.6214,120.7147,568,14,六亩田,K8905,33.9,24.9,0,0,999999,8,4.6
63,浙江省,台州市,仙居县,安岭乡,28.5608,120.3333,488,14,安岭,K8916,35.5,24.2,2.7,2.5999,999999,7.5,5.3
64,浙江省,台州市,天台县,南屏乡,29.0597,120.9656,223.8,16,南屏,K8706,34.2,24,8.6,8.1999,999999,13.1,8.2
65,浙江省,台州市,椒江区,白云街道,28.6547,121.4189,27,14,赤龙,K8001,36.2,28.5,0,0,999999,8.3,5.3
66,浙江省,台州市,黄岩区,上郑乡,28.5983,120.82,988,14,东亚山庄,K8270,30.6,21.1,0,0,999999,999999,7.7
67,浙江省,台州市,黄岩区,头陀镇,28.6742,121.1369,16,14,头陀,K8205,38.4,24.6,0,0,813,6.5,3.8
68,浙江省,台州市,仙居县,埠头镇,28.8714,120.4986,406,14,双峰隧道南,K8978,38.4,23.7,3.9,3.8999,999999,999999,6.2
69,浙江省,台州市,临海市,东塍镇,28.9403,121.3542,325,14,麻山村,KJ601,35,24.4,0,0,999999,999999,999999
70,浙江省,台州市,临海市,小芝镇,28.8933,121.3694,137,14,红树林,K8644,36,24.5,0.1,0.1,999999,6.6,3.8
71,浙江省,台州市,温岭市,石桥头镇,28.3494,121.4606,8.6,14,石桥头,K8401,31.8,27.6,0,0,999999,12.6,8.5
72,浙江省,台州市,临海市,古城街道,28.855,121.1114,55,14,北固山,K8659,35.3,27.3,5.6,4.9999,999999,6.8,5.6
73,浙江省,台州市,温岭市,大溪镇,28.4553,121.2419,25,14,双溪村,K8469,34.2,27.8,0,0,999999,999999,999999
74,浙江省,台州市,黄岩区,宁溪镇,28.5867,120.965,151,16,宁溪,K8282,37.5,25.3,0,0,999999,6.7,4.4
75,浙江省,台州市,黄岩区,屿头乡,28.6522,121.0108,160,14,上凤,K8208,37.3,25.2,0,0,999999,7.9,5.3
76,浙江省,台州市,黄岩区,富山乡,28.5428,120.9233,554,14,双西,KJ205,33.7,24,0.1,0.1,999999,999999,999999
77,浙江省,台州市,天台县,南屏乡,29.0703,120.9281,390,14,翠西村,K8785,34.9,23.5,15.9,13.9,999999,999999,999999
78,浙江省,台州市,仙居县,广度乡,28.9464,120.7519,650,14,广度,K8904,33.4,23.2,2.4,2.1,999999,6,3.1
79,浙江省,台州市,温岭市,坞根镇,28.3339,121.2178,18,14,东门村,K8476,34.1,27.8,0,0,999999,999999,999999
80,浙江省,台州市,黄岩区,北洋镇,28.6528,121.0689,53,14,联丰,K8250,36.4,25,0.1,0.1,999999,999999,999999
81,浙江省,台州市,三门县,健跳镇,29.1086,121.5767,9,14,农气基地,K8823,35.8,26.7,0,0,999999,999999,6.1
82,浙江省,台州市,椒江区,下陈街道,28.6239,121.4308,4,14,横河陈,K8135,34.7,28,0,0,999999,10.3,7.2
83,浙江省,台州市,仙居县,淡竹乡,28.5494,120.5878,406,14,俞坑,K8923,35.1,24,0,0,999999,5.4,3.6
84,浙江省,台州市,临海市,永丰镇,28.9672,121.0675,20,14,沿岸,K8663,37.1,25.4,2.7,2.6,999999,3.5,2.6
85,浙江省,台州市,黄岩区,茅畲乡,28.5467,121.0956,306,14,鸟山,K8278,33.8,24.5,0,0,999999,999999,999999
86,浙江省,台州市,三门县,浦坝港镇,28.8567,121.5758,13,14,念寺塘,K8885,36.9,27.3,0,0,999999,999999,999999
87,浙江省,台州市,黄岩区,宁溪镇,28.6225,120.9417,321,14,乌岩头,KJ213,35,24.8,0,0,999999,5.5,4.2
88,浙江省,台州市,黄岩区,东城街道,28.6694,121.2539,8,14,科技学院,K8218,36.2,26.7,0,0,999999,9.1,5.5
89,浙江省,台州市,温岭市,大溪镇,28.4822,121.3236,9,14,火车站,K8422,36.3,28.1,0,0,999999,9,4.6
90,浙江省,台州市,临海市,白水洋镇,29,120.9667,804,14,安基山,K8643,30.2,23,0.1,0.1,999999,9.6,7.1
91,浙江省,台州市,临海市,白水洋镇,29.0264,120.9786,182,14,大泛村,K8677,35.4,24.2,0.1,0.1,999999,999999,999999
92,浙江省,台州市,黄岩区,茅畲乡,28.5692,121.1114,41,14,西泉,K8294,34.7,25.2,0,0,999999,999999,999999
93,浙江省,台州市,温岭市,横峰街道,28.4331,121.3353,48,14,横屿山,K8449,35.2,27.5,0,0,999999,13.3,10.1
94,浙江省,台州市,温岭市,松门镇,28.4125,121.6617,55,14,九洞门,K8415,30.6,26.5,0,0,999999,16.5,12.8
95,浙江省,台州市,黄岩区,富山乡,28.5294,120.8717,647,14,北山,KJ216,32.2,23.1,0.1,0.1,999999,7.9,5.3
96,浙江省,台州市,天台县,坦头镇,29.12,121.1022,62,14,西方洋,K8719,39.4,24.7,8.1,1.5,313,16.8,10.6
97,浙江省,台州市,温岭市,温峤镇,28.3619,121.2825,46,14,岭脚村,K8420,33.6,27.3,0,0,999999,11.9,7.6
98,浙江省,台州市,仙居县,横溪镇,28.8133,120.475,639,14,银地,K8971,34.9,23.5,0,0,999999,999999,6.8
99,浙江省,台州市,温岭市,松门镇,28.3647,121.6156,8,14,礁山渔港,K8486,30.9,27,0,0,999999,13.7,10.5
100,浙江省,台州市,路桥区,桐屿街道,28.6261,121.3372,10,14,埠头堂,K8342,34.7,27,0,0,999999,999999,999999
101,浙江省,台州市,黄岩区,上垟乡,28.4861,121.0247,185,14,前思岙,K8274,34.3,24.1,0.1,0.1,999999,6.6,3.8
102,浙江省,台州市,三门县,海润街道,29.0806,121.4425,67,14,大岙山,K8881,36.5,25,0,0,999999,999999,999999
103,浙江省,台州市,临海市,小芝镇,28.8522,121.4519,82,16,小芝,K8609,36.7,26.2,0.2,0.2,999999,6.9,4.6
104,浙江省,台州市,仙居县,横溪镇,28.8106,120.4383,421,14,秧田村,K8999,34.4,23.3,0,0,999999,999999,3.8
105,浙江省,台州市,椒江区,大陈镇,28.4514,121.9033,89.1,11,大陈,58666,28,25.4,0,0,5823,14.8,12
106,浙江省,台州市,黄岩区,沙埠镇,28.5481,121.1744,43,14,沙埠,K8203,34.1,25.5,0,0,999999,7.1,5.5
107,浙江省,台州市,玉环市,沙门镇,28.2419,121.4161,140,14,大圆头,K8544,31.7,26,0,0,999999,13.2,7.9
108,浙江省,台州市,三门县,珠岙镇,29.05,121.2208,80,14,高枧,K8807,37,25.1,0.1,0.1,2547,8.9,6.1
109,浙江省,台州市,玉环市,芦浦镇,28.195,121.2103,4,14,分水山,K8522,33.8,27.9,0,0,12257,6.7,3.6
110,浙江省,台州市,温岭市,石塘镇,28.2311,121.6356,95,14,三蒜,K8425,28.3,25.5,0,0,3045,14.4,11.7
111,浙江省,台州市,温岭市,温峤镇,28.3892,121.2886,10,14,陈家宅,K8485,34.5,27.7,0,0,999999,999999,999999
112,浙江省,台州市,温岭市,箬横镇,28.4111,121.5644,6,14,粮食功能区,K8426,29.9,26.8,0,0,999999,16.1,12.5
113,浙江省,台州市,椒江区,葭沚街道,28.6386,121.3522,205,14,绿心,K8031,999999,999999,999999,999999,999999,999999,999999
114,浙江省,台州市,路桥区,路北街道,28.5753,121.3503,5,14,路桥,K8301,36,27.9,0,0,999999,7.6,4.2
115,浙江省,台州市,三门县,珠岙镇,29.0242,121.2556,304,14,竹墩村,K8874,35.1,25,0,0,999999,8.6,5.4
116,浙江省,台州市,路桥区,金清镇,28.4914,121.5986,6,14,金清渔港,K8348,31,27,0,0,999999,15.7,13.5
117,浙江省,台州市,临海市,河头镇,29.0422,121.1561,417,14,山上叶,K8699,33.3,23.9,0.2,0.2,999999,999999,999999
118,浙江省,台州市,黄岩区,东城街道,28.6625,121.28,45,14,气象大楼,K8201,34.9,27.7,0,0,12423,12.5,7.3
119,浙江省,台州市,临海市,白水洋镇,29.0058,120.9836,467,14,丁公园村,K8679,34,23.7,0.1,0.1,999999,999999,999999
120,浙江省,台州市,仙居县,湫山乡,28.6594,120.3575,260,14,芭蕉坑,K8970,38.5,23.7,0,0,999999,999999,4.2
121,浙江省,台州市,天台县,平桥镇,29.155,120.7336,313,14,周家楼,K8789,33.1,23,19.9,11.6,999999,3.7,2.7
122,浙江省,台州市,天台县,始丰街道,29.1528,120.9706,107.6,12,天台,58559,35.5,25.3,0.2,0.1,513,13.7,11.1
123,浙江省,台州市,黄岩区,屿头乡,28.6772,120.9861,126,14,大田,K8298,36.6,25,0,0,999999,999999,999999
124,浙江省,台州市,黄岩区,澄江街道,28.62,121.1472,21,14,临古,K8277,36.2,25.2,0,0,999999,5.9,4.1
125,浙江省,台州市,三门县,浦坝港镇,28.9381,121.7144,25,14,三角塘,K8802,31,27.6,0,0,14294,12.4,8.7
126,浙江省,台州市,椒江区,大陈镇,28.4964,121.9056,55,14,上大陈,K8110,32.4,25.2,0,0,999999,15.1,12.8
127,浙江省,台州市,黄岩区,头陀镇,28.6242,121.1458,14,14,元同溪闸,K8248,35.8,25.7,0,0,999999,6.9,5.3
128,浙江省,台州市,黄岩区,平田乡,28.5753,121.0769,646,14,黄毛山,K8230,30.6,23.1,0,0,999999,9.5,6
129,浙江省,台州市,椒江区,前所街道,28.6944,121.4744,30,14,二桥,K8111,35.5,27.9,0,0,10366,13.8,10.3
130,浙江省,台州市,路桥区,蓬街镇,28.5783,121.4925,4,14,蓬东,K8345,33.6,26.6,0,0,999999,9.7,7.4
131,浙江省,台州市,椒江区,章安街道,28.7081,121.3967,5,14,大桥,K8106,34.9,26.3,1.8,1.9,569,7.3,4.4
132,浙江省,台州市,临海市,永丰镇,28.88,121.0403,17,14,永丰中心校,KJ617,36.4,26.4,4.7,4.2999,999999,6.2,3.6
133,浙江省,台州市,玉环市,龙溪乡,28.1961,121.3092,48,14,花岩浦,K8510,32,27.1,0,0,6728,12.7,10.3
134,浙江省,台州市,三门县,亭旁镇,28.9547,121.3558,318,14,挂帘,K8888,34.6,24.8,0,0,999999,6.2,4.6
135,浙江省,台州市,温岭市,石塘镇,28.2464,121.6039,25,14,石塘渔港,K8407,27.7,25.9,0,0,3861,13.6,11.9
136,浙江省,台州市,天台县,洪畴镇,29.0678,121.1947,110,14,洪畴,K8714,35.5,25.1,0.3,0.3,999999,11.4,7.4
137,浙江省,台州市,三门县,亭旁镇,28.9839,121.3986,466,14,百两岗,K8806,33.6,24.1,0,0,999999,8.2,6.1
138,浙江省,台州市,仙居县,安洲街道,28.8728,120.7306,75,14,四小,K8927,37.7,25.9,0.2,0.1,999999,4.7,3.2
139,浙江省,台州市,黄岩区,上垟乡,28.5617,121.0181,37,14,董岙村,K8276,37.1,25.8,0,0,999999,999999,7.7
140,浙江省,台州市,黄岩区,富山乡,28.5325,120.8467,479,14,决要,K8257,33.8,23.8,0,0,999999,999999,999999
141,浙江省,台州市,仙居县,步路乡,28.7969,120.6969,85,14,西炉,K8952,37.3,25.4,19.6,12,999999,10.2,5.1
142,浙江省,台州市,黄岩区,黄岩屿头乡,28.6503,120.9594,112,14,兴安村,K8275,36.9,25.7,0,0,999999,999999,4.4
143,浙江省,台州市,临海市,汇溪镇,29.0058,121.1697,413,14,山安,K8656,32.8,24.5,0,0,999999,8.4,5.8
144,浙江省,台州市,黄岩区,高桥街道,28.5844,121.2314,45,14,高桥,K8214,35.1,26.1,0,0,999999,8.1,4.3
145,浙江省,台州市,椒江区,三甲街道,28.6186,121.5228,3,14,雷达站,K8114,34.5,27.9,0,0,9939,10,6.2
146,浙江省,台州市,天台县,石梁镇,29.2431,121.0519,758,14,龙皇堂,K8713,32.7,22.4,0.5,0.4,999999,6.6,3.8
147,浙江省,台州市,临海市,括苍镇,28.8197,120.9439,821,14,柱岩林场,KJ607,31.9,22.6,1.2,1.2,999999,6.1,3.7
148,浙江省,台州市,仙居县,皤滩乡,28.6644,120.5092,222,14,金坑口,K8987,35.8,23.7,0,0,999999,999999,999999
149,浙江省,台州市,椒江区,白云街道,28.6856,121.4328,5,14,江滨公园,K8141,37.7,28.3,0,0,999999,9.2,5.5
